Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Desmond Cooper,10050,JAX,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew East,10060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Mcfarland,10020,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yannik Cudjoe Virgil,10100,TEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Tye,10070,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Callahan,10000,LAC,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olsen Pierre,10010,LV,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinton Spain,10110,CIN,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Travell Dixon,10080,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrell Adams,10140,IND,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Chi Ariguzo,10120,DET,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Dorazio,10180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrishon Rose,10190,MIN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tevrin Brandon,10260,DEN,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Steelman,10280,BLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deshon Foxx,10160,NYJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raymon Taylor,10300,IND,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dezmond Johnson,10170,TEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Grant,10130,NYG,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Penny,10200,KC,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Wang,10150,LA,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Decker,10650,DET,74.8,,,,,,706.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ashawn Robinson,10680,NYG,55.1,29.0,5.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Whitehair,10690,CHI,43.5,,,,,,635.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Grymes,10350,PHI,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Stanley,10640,BLT,63.7,,,,,,496.0,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Don Duncan,10230,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paxton Lynch,10660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Jack,10670,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avius Capers,10290,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Valentine,10730,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny Mason,10250,DEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demarcus Robinson,10760,LA,68.7,,,,,,,,,10.0,9.0,107.0,1.0,11.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
Matthew Judon,10780,,70.2,4.0,6.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontae Booker,10770,NYG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
